repository,fabric,canonical_gateway_repo,render_mode,render_target,vercel_mode,vercel_target,neon_project,coverage
Atlas-Ascend/workforce-spine,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/serpents-spine,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Obsidian-Vault,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/GARI-,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Janus-Prime,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,direct-service,janus-prime-runtime-authorization|ga-v1-janus-candidate,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/SAMI,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Eden-2.0,hardware-hypernet,Atlas-Ascend/Hypernet-GMII-Unified-Operating-Model,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/walking-machine-control-plane,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,shared-fabric,janus-prime-runtime-authorization,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/walking-until-the-machine-wakes-up,operator-interface,Atlas-Ascend/Ghost-Atlas-Command-Center,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-command-center,ENROLLED
Atlas-Ascend/PROMETHEUS-V-1.1.1,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Prometheus-1.1.2,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/PROMETHEUS-AIS-V-1.1.1,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/-PROMETHEUS-AIS-Competition,operator-interface,Atlas-Ascend/Ghost-Atlas-Command-Center,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-commercial,ENROLLED
Atlas-Ascend/chatgpt-export-cognitive-map,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/thoth-archive-engine,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/WOOK,operator-interface,Atlas-Ascend/Ghost-Atlas-Command-Center,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-commercial,ENROLLED
Atlas-Ascend/GA-ATLAS-NATIVE-FOUNDRY,software-factory,Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,shared-fabric,ghost-atlas-runtime-worker-factory,shared-surface,ghost-atlas-live-build-showcase,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Ghost-Atlas-Control-Plane,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,shared-fabric,janus-prime-runtime-authorization,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Ghost-Atlas-OS,estate-core,Atlas-Ascend/VISHVARUPA-Software-Hardware-Organism,direct-service,ghost-atlas-os,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/Ghost-Atlas-Command-Center,operator-interface,Atlas-Ascend/Ghost-Atlas-Command-Center,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Ghost-Atlas-Runtime-Observatory,operator-interface,Atlas-Ascend/Ghost-Atlas-Command-Center,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-command-center,ENROLLED
Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,direct-service,ghost-atlas-runtime-gateway|ghost-atlas-runtime-worker-core|ghost-atlas-runtime-worker-custodian|ghost-atlas-runtime-worker-factory|ghost-atlas-runtime-worker-qualification,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Ghost-Atlas-Estate-Event-Gateway,event-fabric,Atlas-Ascend/Ghost-Atlas-Estate-Event-Gateway,shared-fabric,hermes-public-access-relay,shared-surface,ghost-atlas-machine-wake-observatory,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,software-factory,Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,shared-fabric,ghost-atlas-runtime-worker-factory,shared-surface,ghost-atlas-live-build-showcase,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Resident-Agentic-Runtime-Doctrine,estate-core,Atlas-Ascend/VISHVARUPA-Software-Hardware-Organism,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/Ghost-Atlas-Release-Deployment-Control-Plane,release-engineering,Atlas-Ascend/Ghost-Atlas-Release-Deployment-Control-Plane,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-live-build-showcase,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Estate-Service-Catalog-Capability-Registry,estate-discovery,Atlas-Ascend/Estate-Service-Catalog-Capability-Registry,shared-fabric,athena-ai-infrastructure-command-plane,shared-surface,ghost-atlas-machine-wake-observatory,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Ghost-Atlas-Estate-Service-Mesh-Runtime-Connectivity-Fabric,estate-discovery,Atlas-Ascend/Estate-Service-Catalog-Capability-Registry,shared-fabric,athena-ai-infrastructure-command-plane,shared-surface,ghost-atlas-machine-wake-observatory,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/-Autonomous-Self-Reconciling-Software-Factory-Estate-Control-Plane,software-factory,Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,shared-fabric,ghost-atlas-runtime-worker-factory,shared-surface,ghost-atlas-live-build-showcase,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Federated-Autonomous-Repository-Custodian-Agent-Fabric,software-factory,Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,shared-fabric,ghost-atlas-runtime-worker-factory,shared-surface,ghost-atlas-live-build-showcase,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Ghost-Atlas-Machine-Wake-Resident-Control-Plane,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,direct-service,ghost-atlas-machine-wake|ghost-atlas-machine-wake-oidc-ingress,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Eden-AI-Emerald-Tablet-OS-,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Eden-AGI,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Atlas-Omega,estate-core,Atlas-Ascend/VISHVARUPA-Software-Hardware-Organism,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/Atlas-Company-9-Factory,office-fabric,Atlas-Ascend/Ghost-Atlas-HQ,shared-fabric,apollo-studio-operations-intelligence,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Hypernet-GMII-Unified-Operating-Model,hardware-hypernet,Atlas-Ascend/Hypernet-GMII-Unified-Operating-Model,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/Ghost-Atlas-Distributed-Agentic-Organism,estate-core,Atlas-Ascend/VISHVARUPA-Software-Hardware-Organism,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/Atlas-Ascend-JANUS-10-Grand-Challenge,operator-interface,Atlas-Ascend/Ghost-Atlas-Command-Center,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-command-center,ENROLLED
Atlas-Ascend/JANUS-Human-Admin-Zero,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,direct-service,janus-human-admin-zero,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/HERMES-Public-Access-Relay,event-fabric,Atlas-Ascend/Ghost-Atlas-Estate-Event-Gateway,direct-service,hermes-public-access-relay,shared-surface,ghost-atlas-machine-wake-observatory,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/APOLLO-Studio-Operations-Intelligence,office-fabric,Atlas-Ascend/Ghost-Atlas-HQ,direct-service,apollo-studio-operations-intelligence,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-commercial,ENROLLED
Atlas-Ascend/HESTIA-Hearth-Agentic-Control-Plane,office-fabric,Atlas-Ascend/Ghost-Atlas-HQ,direct-service,hestia-hearth-agentic-control-plane,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-commercial,ENROLLED
Atlas-Ascend/HEIMDALL-Machine-Governor,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,direct-service,heimdall-machine-governor,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/ARTEMIS-Local-Sovereign-AI,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,direct-service,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/MAAT-Universal-CaseGraph,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,direct-service,maat-universal-casegraph,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/ARGUS-FieldVision,hardware-hypernet,Atlas-Ascend/Hypernet-GMII-Unified-Operating-Model,direct-service,argus-fieldvision-api|argus-fieldvision-web,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/Ghost-Atlas-Map-of-Reality,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,direct-service,ghost-atlas-map-of-reality,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/VISHVARUPA-Software-Hardware-Organism,estate-core,Atlas-Ascend/VISHVARUPA-Software-Hardware-Organism,direct-service,vishvarupa-organism|vishvarupa-cybernetic-brain-gate,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/ATHENA-AI-Infrastructure-Command-Plane,estate-discovery,Atlas-Ascend/Estate-Service-Catalog-Capability-Registry,direct-service,athena-ai-infrastructure-command-plane,shared-surface,ghost-atlas-machine-wake-observatory,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/VULCAN-Agentic-Engineering-Foundry,software-factory,Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,direct-service,vulcan-agentic-engineering-foundry,shared-surface,ghost-atlas-live-build-showcase,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Ghost-Atlas-HQ,office-fabric,Atlas-Ascend/Ghost-Atlas-HQ,shared-fabric,apollo-studio-operations-intelligence,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Atlas-Company-9,office-fabric,Atlas-Ascend/Ghost-Atlas-HQ,shared-fabric,apollo-studio-operations-intelligence,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Crowngrid,estate-discovery,Atlas-Ascend/Estate-Service-Catalog-Capability-Registry,shared-fabric,athena-ai-infrastructure-command-plane,shared-surface,ghost-atlas-machine-wake-observatory,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Packet-OS,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/SECA,security-verification,Atlas-Ascend/SECA,shared-fabric,heimdall-machine-governor,shared-surface,ghost-atlas-machine-wake-observatory,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/DEVOS,software-factory,Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,shared-fabric,ghost-atlas-runtime-worker-factory,shared-surface,ghost-atlas-live-build-showcase,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/MythOS,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Cipher-9.9,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/RHSIE-3.3,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Janus-Odin,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,shared-fabric,janus-prime-runtime-authorization,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Atlas-Mind-LLM,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Cali-CRF,hardware-hypernet,Atlas-Ascend/Hypernet-GMII-Unified-Operating-Model,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/Ark-OS,hardware-hypernet,Atlas-Ascend/Hypernet-GMII-Unified-Operating-Model,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/Navi-3.3---Governance-Cognitive-Pattern-Recognition,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,shared-fabric,janus-prime-runtime-authorization,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Ghost-Atlas-Research-Institute,research-fabric,Atlas-Ascend/Ghost-Atlas-Research-Institute,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-live-build-showcase,atlas-mind-commercial,ENROLLED
Atlas-Ascend/Mind-As-OS-,cognitive-fabric,Atlas-Ascend/Atlas-Mind-LLM,shared-fabric,artemis-local-sovereign-ai,shared-surface,atlas-mind-live-surface,atlas-mind-commercial,ENROLLED
Atlas-Ascend/EDEN-Resident-Office-Fabric,office-fabric,Atlas-Ascend/Ghost-Atlas-HQ,shared-fabric,apollo-studio-operations-intelligence,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-commercial,ENROLLED
Atlas-Ascend/GAIA-H0-HYPERNET-ARK-SEED,hardware-hypernet,Atlas-Ascend/Hypernet-GMII-Unified-Operating-Model,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
